"","Date","Time","State.UnionTerritory","Cured","Deaths","Confirmed","NewCasesInDay","NewDeathsInDay","NewCuredInDay"
"1",2020-03-12,"18:00","Andhra Pradesh",0,0,1,1,0,0
"2",2020-03-13,"18:00","Andhra Pradesh",0,0,1,0,0,0
"3",2020-03-14,"18:00","Andhra Pradesh",0,0,1,0,0,0
"4",2020-03-15,"18:00","Andhra Pradesh",0,0,1,0,0,0
"5",2020-03-16,"18:00","Andhra Pradesh",0,0,1,0,0,0
"6",2020-03-17,"18:00","Andhra Pradesh",0,0,1,0,0,0
"7",2020-03-18,"18:00","Andhra Pradesh",0,0,1,0,0,0
"8",2020-03-19,"18:00","Andhra Pradesh",0,0,2,1,0,0
"9",2020-03-20,"18:00","Andhra Pradesh",0,0,3,1,0,0
"10",2020-03-21,"18:00","Andhra Pradesh",0,0,3,0,0,0
"11",2020-03-22,"18:00","Andhra Pradesh",0,0,5,2,0,0
"12",2020-03-23,"18:00","Andhra Pradesh",0,0,7,2,0,0
"13",2020-03-24,"18:00","Andhra Pradesh",0,0,8,1,0,0
"14",2020-03-25,"18:00","Andhra Pradesh",1,0,9,1,0,1
"15",2020-03-26,"18:00","Andhra Pradesh",1,0,11,2,0,0
"16",2020-03-27,"10:00","Andhra Pradesh",1,0,12,1,0,0
"17",2020-03-28,"18:00","Andhra Pradesh",1,0,14,2,0,0
"18",2020-03-29,"19:30","Andhra Pradesh",1,0,19,5,0,0
"19",2020-03-30,"21:30","Andhra Pradesh",1,0,23,4,0,0
"20",2020-03-31,"20:30","Andhra Pradesh",1,0,40,17,0,0
"21",2020-04-01,"19:30","Andhra Pradesh",1,0,83,43,0,0
"22",2020-04-02,"18:00","Andhra Pradesh",1,1,86,3,1,0
"23",2020-04-03,"18:00","Andhra Pradesh",1,1,132,46,0,0
"24",2020-04-04,"18:00","Andhra Pradesh",1,1,161,29,0,0
"25",2020-04-05,"18:00","Andhra Pradesh",1,1,190,29,0,0
"26",2020-04-06,"18:00","Andhra Pradesh",1,3,226,36,2,0
"27",2020-04-07,"18:00","Andhra Pradesh",1,3,266,40,0,0
"28",2020-04-08,"17:00","Andhra Pradesh",5,4,305,39,1,4
"29",2020-04-09,"17:00","Andhra Pradesh",6,4,348,43,0,1
"30",2020-04-10,"17:00","Andhra Pradesh",7,6,363,15,2,1
"31",2020-04-11,"17:00","Andhra Pradesh",11,6,381,18,0,4
"32",2020-04-12,"17:00","Andhra Pradesh",11,6,381,0,0,0
"33",2020-04-13,"17:00","Andhra Pradesh",11,7,432,51,1,0
"34",2020-04-14,"17:00","Andhra Pradesh",14,9,473,41,2,3
"35",2020-04-15,"17:00","Andhra Pradesh",16,9,503,30,0,2
"36",2020-04-16,"17:00","Andhra Pradesh",20,14,534,31,5,4
"37",2020-04-17,"17:00","Andhra Pradesh",36,14,572,38,0,16
"38",2020-04-18,"17:00","Andhra Pradesh",42,15,603,31,1,6
"39",2020-04-19,"17:00","Andhra Pradesh",42,15,603,0,0,0
"40",2020-04-20,"17:00","Andhra Pradesh",92,20,722,119,5,50
"41",2020-04-21,"17:00","Andhra Pradesh",96,22,757,35,2,4
"42",2020-04-22,"17:00","Andhra Pradesh",120,24,813,56,2,24
"43",2020-04-23,"17:00","Andhra Pradesh",141,27,895,82,3,21
"44",2020-04-24,"17:00","Andhra Pradesh",145,29,955,60,2,4
"45",2020-04-25,"17:00","Andhra Pradesh",171,31,1061,106,2,26
"46",2020-04-26,"17:00","Andhra Pradesh",231,31,1097,36,0,60
"47",2020-04-27,"17:00","Andhra Pradesh",235,31,1177,80,0,4
"48",2020-04-28,"17:00","Andhra Pradesh",258,31,1259,82,0,23
"49",2020-04-29,"17:00","Andhra Pradesh",287,31,1332,73,0,29
"50",2020-04-30,"17:00","Andhra Pradesh",321,31,1403,71,0,34
"51",2020-05-01,"17:00","Andhra Pradesh",403,33,1463,60,2,82
"52",2020-05-02,"17:00","Andhra Pradesh",403,33,1463,0,0,0
"53",2020-05-03,"17:00","Andhra Pradesh",488,33,1583,120,0,85
"54",2020-05-04,"17:00","Andhra Pradesh",524,36,1650,67,3,36
"55",2020-05-05,"17:00","Andhra Pradesh",589,36,1717,67,0,65
"56",2020-05-06,"08:00","Andhra Pradesh",589,36,1717,0,0,0
"57",2020-05-07,"08:00","Andhra Pradesh",729,36,1777,60,0,140
"58",2020-05-08,"08:00","Andhra Pradesh",780,38,1847,70,2,51
"59",2020-05-09,"08:00","Andhra Pradesh",842,41,1887,40,3,62
"60",2020-05-10,"08:00","Andhra Pradesh",887,44,1930,43,3,45
"61",2020-05-11,"08:00","Andhra Pradesh",925,45,1980,50,1,38
"62",2020-05-12,"08:00","Andhra Pradesh",975,45,2018,38,0,50
"63",2020-05-13,"08:00","Andhra Pradesh",1056,46,2090,72,1,81
"64",2020-05-14,"08:00","Andhra Pradesh",1142,47,2137,47,1,86
"65",2020-05-15,"08:00","Andhra Pradesh",1192,48,2205,68,1,50
"66",2020-05-16,"08:00","Andhra Pradesh",1252,48,2307,102,0,60
"67",2020-05-17,"08:00","Andhra Pradesh",1353,49,2355,48,1,101
"68",2020-05-18,"08:00","Andhra Pradesh",1456,50,2407,52,1,103
"69",2020-05-19,"08:00","Andhra Pradesh",1552,50,2474,67,0,96
"70",2020-05-20,"08:00","Andhra Pradesh",1621,52,2532,58,2,69
"71",2020-05-21,"08:00","Andhra Pradesh",1640,53,2602,70,1,19
"72",2020-05-22,"08:00","Andhra Pradesh",1709,53,2647,45,0,69
"73",2020-05-23,"08:00","Andhra Pradesh",1763,55,2709,62,2,54
"74",2020-05-24,"08:00","Andhra Pradesh",1809,56,2757,48,1,46
"75",2020-05-25,"08:00","Andhra Pradesh",1856,56,2823,66,0,47
"76",2020-05-26,"08:00","Andhra Pradesh",1896,56,3110,287,0,40
"77",2020-05-27,"08:00","Andhra Pradesh",2009,57,3171,61,1,113
"78",2020-05-28,"08:00","Andhra Pradesh",2057,58,3171,0,1,48
"79",2020-05-29,"08:00","Andhra Pradesh",2125,59,3251,80,1,68
"80",2020-05-30,"08:00","Andhra Pradesh",2226,60,3436,185,1,101
"81",2020-05-31,"08:00","Andhra Pradesh",2289,60,3569,133,0,63
"82",2020-06-01,"08:00","Andhra Pradesh",2349,62,3679,110,2,60
"83",2020-06-02,"08:00","Andhra Pradesh",2378,64,3783,104,2,29
"84",2020-06-03,"08:00","Andhra Pradesh",2421,64,3898,115,0,43
"85",2020-06-04,"08:00","Andhra Pradesh",2466,68,4080,182,4,45
"86",2020-06-05,"08:00","Andhra Pradesh",2539,71,4223,143,3,73
"87",2020-06-06,"08:00","Andhra Pradesh",2576,73,4303,80,2,37
"88",2020-06-07,"08:00","Andhra Pradesh",2620,73,4510,207,0,44
"89",2020-06-08,"08:00","Andhra Pradesh",2682,75,4708,198,2,62
"90",2020-06-09,"08:00","Andhra Pradesh",2745,75,4851,143,0,63
"91",2020-06-10,"08:00","Andhra Pradesh",2802,77,5070,219,2,57
"92",2020-06-11,"08:00","Andhra Pradesh",2899,78,5269,199,1,97
"93",2020-06-12,"08:00","Andhra Pradesh",3048,80,5429,160,2,149
"94",2020-06-13,"08:00","Andhra Pradesh",3105,80,5680,251,0,57
"95",2020-06-14,"08:00","Andhra Pradesh",3195,82,5965,285,2,90
"96",2020-06-15,"08:00","Andhra Pradesh",3314,84,6163,198,2,119
"97",2020-06-16,"08:00","Andhra Pradesh",3316,88,6456,293,4,2
"98",2020-06-17,"08:00","Andhra Pradesh",3509,88,6841,385,0,193
"99",2020-06-18,"08:00","Andhra Pradesh",3641,90,7071,230,2,132
