"","Date","Time","State.UnionTerritory","Cured","Deaths","Confirmed","NewCasesInDay","NewDeathsInDay","NewCuredInDay"
"1",2020-03-26,"18:00","Andaman and Nicobar Islands",0,0,1,1,0,0
"2",2020-03-27,"10:00","Andaman and Nicobar Islands",0,0,1,0,0,0
"3",2020-03-28,"18:00","Andaman and Nicobar Islands",0,0,6,5,0,0
"4",2020-03-29,"19:30","Andaman and Nicobar Islands",0,0,9,3,0,0
"5",2020-03-30,"21:30","Andaman and Nicobar Islands",0,0,9,0,0,0
"6",2020-03-31,"20:30","Andaman and Nicobar Islands",0,0,10,1,0,0
"7",2020-04-01,"19:30","Andaman and Nicobar Islands",0,0,10,0,0,0
"8",2020-04-02,"18:00","Andaman and Nicobar Islands",0,0,10,0,0,0
"9",2020-04-03,"18:00","Andaman and Nicobar Islands",0,0,10,0,0,0
"10",2020-04-04,"18:00","Andaman and Nicobar Islands",0,0,10,0,0,0
"11",2020-04-05,"18:00","Andaman and Nicobar Islands",0,0,10,0,0,0
"12",2020-04-06,"18:00","Andaman and Nicobar Islands",0,0,10,0,0,0
"13",2020-04-07,"18:00","Andaman and Nicobar Islands",0,0,10,0,0,0
"14",2020-04-08,"17:00","Andaman and Nicobar Islands",0,0,10,0,0,0
"15",2020-04-09,"17:00","Andaman and Nicobar Islands",0,0,11,1,0,0
"16",2020-04-10,"17:00","Andaman and Nicobar Islands",0,0,11,0,0,0
"17",2020-04-11,"17:00","Andaman and Nicobar Islands",0,0,11,0,0,0
"18",2020-04-12,"17:00","Andaman and Nicobar Islands",10,0,11,0,0,10
"19",2020-04-13,"17:00","Andaman and Nicobar Islands",10,0,11,0,0,0
"20",2020-04-14,"17:00","Andaman and Nicobar Islands",10,0,11,0,0,0
"21",2020-04-15,"17:00","Andaman and Nicobar Islands",10,0,11,0,0,0
"22",2020-04-16,"17:00","Andaman and Nicobar Islands",10,0,11,0,0,0
"23",2020-04-17,"17:00","Andaman and Nicobar Islands",10,0,11,0,0,0
"24",2020-04-18,"17:00","Andaman and Nicobar Islands",11,0,12,1,0,1
"25",2020-04-19,"17:00","Andaman and Nicobar Islands",11,0,14,2,0,0
"26",2020-04-20,"17:00","Andaman and Nicobar Islands",11,0,15,1,0,0
"27",2020-04-21,"17:00","Andaman and Nicobar Islands",11,0,16,1,0,0
"28",2020-04-22,"17:00","Andaman and Nicobar Islands",11,0,17,1,0,0
"29",2020-04-23,"17:00","Andaman and Nicobar Islands",11,0,18,1,0,0
"30",2020-04-24,"17:00","Andaman and Nicobar Islands",11,0,22,4,0,0
"31",2020-04-25,"17:00","Andaman and Nicobar Islands",11,0,27,5,0,0
"32",2020-04-26,"17:00","Andaman and Nicobar Islands",11,0,33,6,0,0
"33",2020-04-27,"17:00","Andaman and Nicobar Islands",11,0,33,0,0,0
"34",2020-04-28,"17:00","Andaman and Nicobar Islands",11,0,33,0,0,0
"35",2020-04-29,"17:00","Andaman and Nicobar Islands",15,0,33,0,0,4
"36",2020-04-30,"17:00","Andaman and Nicobar Islands",15,0,33,0,0,0
"37",2020-05-01,"17:00","Andaman and Nicobar Islands",16,0,33,0,0,1
"38",2020-05-02,"17:00","Andaman and Nicobar Islands",16,0,33,0,0,0
"39",2020-05-03,"17:00","Andaman and Nicobar Islands",17,0,33,0,0,1
"40",2020-05-04,"17:00","Andaman and Nicobar Islands",32,0,33,0,0,15
